2020-12-29 13:53:09,908 Connected (version 2.0, client OpenSSH_7.4)
2020-12-29 13:53:09,990 Authentication (password) successful!
2020-12-29 13:53:11,583 {'status': 0, 'data': 'l', 'cols': None, 'rows': None}
2020-12-29 13:53:16,536 {'status': 0, 'data': '\x1bP0+r6b35\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,550 {'status': 0, 'data': '\x1bP0+r6b36\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,555 {'status': 0, 'data': '\x1bP0+r6b37\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,557 {'status': 0, 'data': '\x1bP0+r6b38\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,569 {'status': 0, 'data': '\x1bP0+r6b39\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,574 {'status': 0, 'data': '\x1bP0+r6b3b\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,586 {'status': 0, 'data': '\x1bP0+r4631\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,595 {'status': 0, 'data': '\x1bP0+r4632\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,601 {'status': 0, 'data': '\x1bP0+r2531\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,612 {'status': 0, 'data': '\x1bP0+r2638\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,616 {'status': 0, 'data': '\x1bP0+r6b62\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,624 {'status': 0, 'data': '\x1bP0+r6b49\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,634 {'status': 0, 'data': '\x1bP0+r6b44\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,636 {'status': 0, 'data': '\x1bP0+r6b68\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,638 {'status': 0, 'data': '\x1bP0+r4037\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,639 {'status': 0, 'data': '\x1bP0+r6b50\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,640 {'status': 0, 'data': '\x1bP0+r6b4e\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,643 {'status': 0, 'data': '\x1bP0+r4b31\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,667 {'status': 0, 'data': '\x1bP0+r4b33\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,669 {'status': 0, 'data': '\x1bP0+r4b34\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,670 {'status': 0, 'data': '\x1bP0+r4b35\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:16,672 {'status': 0, 'data': '\x1bP0+r6b42\x1b\\', 'cols': None, 'rows': None}
2020-12-29 13:53:17,581 {'status': 0, 'data': ':', 'cols': None, 'rows': None}
2020-12-29 13:53:17,882 {'status': 0, 'data': 'q', 'cols': None, 'rows': None}
2020-12-29 13:53:18,034 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:18,396 {'status': 0, 'data': 'l', 'cols': None, 'rows': None}
2020-12-29 13:53:18,539 {'status': 0, 'data': 's', 'cols': None, 'rows': None}
2020-12-29 13:53:18,656 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:19,243 {'status': 0, 'data': 'c', 'cols': None, 'rows': None}
2020-12-29 13:53:19,454 {'status': 0, 'data': 'd', 'cols': None, 'rows': None}
2020-12-29 13:53:20,047 {'status': 0, 'data': '\x7f', 'cols': None, 'rows': None}
2020-12-29 13:53:20,235 {'status': 0, 'data': '\x7f', 'cols': None, 'rows': None}
2020-12-29 13:53:20,507 {'status': 0, 'data': 'c', 'cols': None, 'rows': None}
2020-12-29 13:53:20,704 {'status': 0, 'data': 'd', 'cols': None, 'rows': None}
2020-12-29 13:53:20,863 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:21,259 {'status': 0, 'data': 'c', 'cols': None, 'rows': None}
2020-12-29 13:53:21,456 {'status': 0, 'data': 'd', 'cols': None, 'rows': None}
2020-12-29 13:53:21,534 {'status': 0, 'data': ' ', 'cols': None, 'rows': None}
2020-12-29 13:53:21,691 {'status': 0, 'data': '/', 'cols': None, 'rows': None}
2020-12-29 13:53:21,867 {'status': 0, 'data': 'o', 'cols': None, 'rows': None}
2020-12-29 13:53:21,981 {'status': 0, 'data': 'p', 'cols': None, 'rows': None}
2020-12-29 13:53:22,114 {'status': 0, 'data': '\t', 'cols': None, 'rows': None}
2020-12-29 13:53:22,366 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:22,635 {'status': 0, 'data': 'l', 'cols': None, 'rows': None}
2020-12-29 13:53:22,764 {'status': 0, 'data': 's', 'cols': None, 'rows': None}
2020-12-29 13:53:22,910 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:23,374 {'status': 0, 'data': 'c', 'cols': None, 'rows': None}
2020-12-29 13:53:23,550 {'status': 0, 'data': 'd', 'cols': None, 'rows': None}
2020-12-29 13:53:24,507 {'status': 0, 'data': '\x7f', 'cols': None, 'rows': None}
2020-12-29 13:53:24,717 {'status': 0, 'data': '\x7f', 'cols': None, 'rows': None}
2020-12-29 13:53:24,893 {'status': 0, 'data': '\x7f', 'cols': None, 'rows': None}
2020-12-29 13:53:25,066 {'status': 0, 'data': '\x7f', 'cols': None, 'rows': None}
2020-12-29 13:53:25,377 {'status': 0, 'data': 'r', 'cols': None, 'rows': None}
2020-12-29 13:53:25,599 {'status': 0, 'data': 'm', 'cols': None, 'rows': None}
2020-12-29 13:53:25,819 {'status': 0, 'data': ' ', 'cols': None, 'rows': None}
2020-12-29 13:53:25,999 {'status': 0, 'data': '-', 'cols': None, 'rows': None}
2020-12-29 13:53:26,174 {'status': 0, 'data': 'r', 'cols': None, 'rows': None}
2020-12-29 13:53:26,395 {'status': 0, 'data': 'f', 'cols': None, 'rows': None}
2020-12-29 13:53:26,523 {'status': 0, 'data': ' ', 'cols': None, 'rows': None}
2020-12-29 13:53:27,131 {'status': 0, 'data': 'r', 'cols': None, 'rows': None}
2020-12-29 13:53:27,307 {'status': 0, 'data': 'h', 'cols': None, 'rows': None}
2020-12-29 13:53:27,503 {'status': 0, 'data': '\t', 'cols': None, 'rows': None}
2020-12-29 13:53:27,938 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:28,442 {'status': 0, 'data': 'l', 'cols': None, 'rows': None}
2020-12-29 13:53:28,523 {'status': 0, 'data': 's', 'cols': None, 'rows': None}
2020-12-29 13:53:28,690 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:29,119 {'status': 0, 'data': 'c', 'cols': None, 'rows': None}
2020-12-29 13:53:29,291 {'status': 0, 'data': 'd', 'cols': None, 'rows': None}
2020-12-29 13:53:29,406 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:29,755 {'status': 0, 'data': 'l', 'cols': None, 'rows': None}
2020-12-29 13:53:29,915 {'status': 0, 'data': 's', 'cols': None, 'rows': None}
2020-12-29 13:53:30,531 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:31,003 {'status': 0, 'data': 'l', 'cols': None, 'rows': None}
2020-12-29 13:53:31,100 {'status': 0, 'data': 's', 'cols': None, 'rows': None}
2020-12-29 13:53:31,198 {'status': 0, 'data': ' ', 'cols': None, 'rows': None}
2020-12-29 13:53:31,359 {'status': 0, 'data': '/', 'cols': None, 'rows': None}
2020-12-29 13:53:31,614 {'status': 0, 'data': 'o', 'cols': None, 'rows': None}
2020-12-29 13:53:31,744 {'status': 0, 'data': 'p', 'cols': None, 'rows': None}
2020-12-29 13:53:31,906 {'status': 0, 'data': '\t', 'cols': None, 'rows': None}
2020-12-29 13:53:32,206 {'status': 0, 'data': 't', 'cols': None, 'rows': None}
2020-12-29 13:53:32,380 {'status': 0, 'data': 'm', 'cols': None, 'rows': None}
2020-12-29 13:53:32,467 {'status': 0, 'data': '\t', 'cols': None, 'rows': None}
2020-12-29 13:53:32,772 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:33,485 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:33,886 {'status': 0, 'data': 'r', 'cols': None, 'rows': None}
2020-12-29 13:53:34,031 {'status': 0, 'data': 'm', 'cols': None, 'rows': None}
2020-12-29 13:53:34,685 {'status': 0, 'data': 'd', 'cols': None, 'rows': None}
2020-12-29 13:53:34,782 {'status': 0, 'data': 'i', 'cols': None, 'rows': None}
2020-12-29 13:53:34,908 {'status': 0, 'data': 'r', 'cols': None, 'rows': None}
2020-12-29 13:53:35,163 {'status': 0, 'data': ' ', 'cols': None, 'rows': None}
2020-12-29 13:53:35,453 {'status': 0, 'data': '\x1b', 'cols': None, 'rows': None}
2020-12-29 13:53:35,564 {'status': 0, 'data': '.', 'cols': None, 'rows': None}
2020-12-29 13:53:35,959 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:36,684 {'status': 0, 'data': 'l', 'cols': None, 'rows': None}
2020-12-29 13:53:36,800 {'status': 0, 'data': 's', 'cols': None, 'rows': None}
2020-12-29 13:53:36,957 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:37,475 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:37,666 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:37,838 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:37,948 {'status': 0, 'data': 'c', 'cols': None, 'rows': None}
2020-12-29 13:53:38,131 {'status': 0, 'data': 'd', 'cols': None, 'rows': None}
2020-12-29 13:53:38,238 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:46,667 {'status': 0, 'data': 'e', 'cols': None, 'rows': None}
2020-12-29 13:53:46,971 {'status': 0, 'data': 'x', 'cols': None, 'rows': None}
2020-12-29 13:53:47,228 {'status': 0, 'data': 'i', 'cols': None, 'rows': None}
2020-12-29 13:53:47,389 {'status': 0, 'data': 't', 'cols': None, 'rows': None}
2020-12-29 13:53:47,617 {'status': 0, 'data': '\r', 'cols': None, 'rows': None}
2020-12-29 13:53:50,035 WebSocket DISCONNECT /webssh/ [192.168.137.33:52357]
